reporting_start,campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion
Saturday,936,30,M,25,30,27,605,0,0,1,0
Saturday,936,30,M,26,32,29,1030,0,0,1,0
Sunday,936,30,M,36,38,38,962,0,0,1,0
Monday,936,35,M,23,24,27,239,0,0,1,0
Tuesday,936,35,M,26,27,28,591,0,0,1,0
Monday,936,40,M,36,37,41,834,0,0,1,0
Monday,936,45,M,19,24,20,371,0,0,1,0
Sunday,936,45,M,31,37,33,839,0,0,1,0
Monday,936,30,F,16,19,17,4010,0,0,1,0
Monday,936,30,F,18,20,20,1635,0,0,1,0
Monday,936,30,F,18,19,21,1631,0,0,1,0
Sunday,936,30,F,64,70,68,1554,0,0,1,0
Friday,936,35,F,64,65,68,1393,0,0,1,0
Saturday,936,40,F,7,10,12,648,0,0,1,0
Saturday,936,40,F,28,30,31,926,0,0,1,0
Friday,936,45,F,19,25,21,530,0,0,1,0
Friday,936,30,M,15,16,20,2522,0,0,1,0
Friday,936,30,M,16,17,17,3587,0,0,1,0
Friday,936,30,M,27,30,28,1273,0,0,1,0
Monday,936,30,M,29,34,34,1888,0,0,1,0
Monday,936,30,M,29,32,33,1895,0,0,1,0
Monday,936,35,M,7,10,11,715,0,0,1,0
Monday,936,40,M,10,11,11,1415,0,0,1,0
Sunday,936,30,F,23,29,28,523,0,0,1,0
Sunday,936,30,F,26,27,31,1873,0,0,1,0
Sunday,936,30,F,32,37,36,658,0,0,1,0
Sunday,936,30,F,64,70,68,1539,0,0,1,0
Sunday,936,40,F,21,23,24,542,0,0,1,0
Saturday,936,40,F,64,70,66,1338,0,0,1,0
Monday,936,45,F,19,20,23,529,0,0,1,0
Friday,936,30,M,10,12,11,1746,0,0,1,0
Sunday,936,35,M,16,17,19,2936,0,0,1,0
Monday,936,35,M,28,29,30,1032,0,0,1,0
Friday,936,45,M,20,22,21,673,0,0,1,0
Thursday,936,30,F,30,36,31,493,0,0,1,0
Friday,936,35,F,63,69,64,1238,0,0,1,0
Tuesday,936,30,M,10,14,16,3200,0,0,1,0
Monday,936,30,M,16,22,17,9982,0,0,1,0
Monday,936,30,M,15,16,16,7015,0,0,1,0
Wednesday,936,30,F,2,3,6,506,0,0,1,0
Tuesday,936,40,M,16,22,17,7745,0,0,1,0
Tuesday,936,45,M,21,23,26,1609,0,0,1,0
Wednesday,936,35,M,16,21,22,6260,0,0,1,0
Tuesday,936,35,M,16,19,21,6359,0,0,1,0
Friday,936,45,M,28,32,32,2479,0,0,1,0
Wednesday,936,40,M,16,18,17,7101,0,0,1,0
Wednesday,936,30,M,31,32,33,3279,0,0,1,0
Wednesday,936,30,M,31,36,36,3288,0,0,1,0
Monday,936,35,M,29,35,35,4595,0,0,1,0
Monday,936,30,M,29,34,32,4871,0,0,1,0
Monday,936,35,M,28,32,30,3199,0,0,1,0
Sunday,936,40,F,29,32,32,2755,0,0,1,0
Sunday,936,30,M,31,35,33,2214,0,0,1,0
Tuesday,936,30,M,29,35,30,4608,0,0,1,0
Tuesday,936,35,M,29,31,30,3732,0,0,1,0
Tuesday,936,30,M,26,28,29,1738,0,0,1,0
Tuesday,936,40,M,15,21,21,4414,0,0,1,0
Tuesday,936,45,M,65,68,69,1006,0,0,1,0
Tuesday,936,35,F,15,18,16,2459,0,0,1,0
Monday,936,35,M,10,13,16,2549,0,0,1,0
Monday,936,30,F,20,24,25,1961,0,0,1,0
Monday,936,30,F,22,24,25,2554,0,0,1,0
Thursday,936,30,F,28,34,34,2963,0,0,1,0
Thursday,936,45,F,10,13,13,3462,0,0,1,0
Friday,936,30,F,27,33,30,3745,0,0,1,0
Friday,936,30,F,24,26,28,830,0,0,1,0
Friday,936,45,F,18,24,22,2912,0,0,1,0
Friday,936,35,F,64,67,70,2755,0,0,1,0
Friday,936,30,M,63,65,68,2086,0,0,1,0
Friday,936,35,M,16,17,18,6016,0,0,1,0
Thursday,936,30,F,32,37,36,1772,0,0,1,0
Friday,936,30,F,32,38,34,1783,0,0,1,0
Saturday,936,45,F,21,27,23,1314,0,0,1,0
Sunday,936,30,F,20,26,21,1984,0,0,1,0
Monday,936,30,F,16,18,21,7301,0,0,1,0
Sunday,936,30,F,30,31,32,535,0,0,1,0
Saturday,936,30,M,29,34,30,3396,0,0,1,0
Saturday,936,30,M,26,27,32,977,0,0,1,0
Sunday,936,40,F,20,25,24,979,0,0,1,0
Friday,936,30,M,10,13,16,2499,0,0,1,0
Wednesday,936,30,M,15,17,19,4827,0,0,1,0
Wednesday,936,35,F,30,32,32,761,0,0,1,0
Tuesday,936,30,M,18,23,23,1120,0,0,1,0
Tuesday,936,30,M,16,20,19,3242,0,0,1,0
Wednesday,936,30,M,64,66,65,616,0,0,1,0
